Destination Name,Country,Region,Image URL,Priority,Notes
Seattle,United States,North America,,Tier 1,High Viator demand
Portland,United States,North America,,Tier 1,High Viator demand
San Diego,United States,North America,,Tier 1,High Viator demand
San Antonio,United States,North America,,Tier 1,High Viator demand
Austin,United States,North America,,Tier 1,High Viator demand
Boston,United States,North America,,Tier 1,High Viator demand
Philadelphia,United States,North America,,Tier 1,High Viator demand
Phoenix,United States,North America,,Tier 1,High Viator demand
Atlanta,United States,North America,,Tier 1,High Viator demand
Charlotte,United States,North America,,Tier 1,High Viator demand
Savannah,United States,North America,,Tier 1,Historic charm
Charleston,United States,North America,,Tier 1,Historic charm
Key West,United States,North America,,Tier 1,Beach destination
Napa Valley,United States,North America,,Tier 1,Wine region
Sonoma,United States,North America,,Tier 1,Wine region
Lake Tahoe,United States,North America,,Tier 1,Adventure destination
Aspen,United States,North America,,Tier 1,Ski resort
Park City,United States,North America,,Tier 1,Ski resort
Jackson Hole,United States,North America,,Tier 1,Adventure destination
Santa Fe,United States,North America,,Tier 1,Cultural destination
Taos,United States,North America,,Tier 1,Cultural destination
Telluride,United States,North America,,Tier 1,Ski resort
Calgary,Canada,North America,,Tier 1,City gateway
Whistler,Canada,North America,,Tier 1,Ski resort
Victoria,Canada,North America,,Tier 1,Coastal city
Halifax,Canada,North America,,Tier 1,Coastal city
San Miguel de Allende,Mexico,North America,,Tier 1,Cultural destination
Mérida,Mexico,North America,,Tier 1,Cultural destination
Guadalajara,Mexico,North America,,Tier 1,City destination
Puebla,Mexico,North America,,Tier 1,Historic city
Milwaukee,United States,North America,,Tier 2,City destination
Minneapolis,United States,North America,,Tier 2,City destination
Kansas City,United States,North America,,Tier 2,City destination
St. Louis,United States,North America,,Tier 2,City destination
Indianapolis,United States,North America,,Tier 2,City destination
Columbus,United States,North America,,Tier 2,City destination
Cincinnati,United States,North America,,Tier 2,City destination
Pittsburgh,United States,North America,,Tier 2,City destination
Buffalo,United States,North America,,Tier 2,City destination
Providence,United States,North America,,Tier 2,City destination
Palm Springs,United States,North America,,Tier 2,Desert resort
Santa Barbara,United States,North America,,Tier 2,Coastal city
Monterey,United States,North America,,Tier 2,Coastal city
Carmel-by-the-Sea,United States,North America,,Tier 2,Coastal town
Big Sur,United States,North America,,Tier 2,Scenic destination
Yosemite National Park,United States,North America,,Tier 2,National park
Grand Canyon,United States,North America,,Tier 2,National park
Zion National Park,United States,North America,,Tier 2,National park
Bryce Canyon,United States,North America,,Tier 2,National park
Jasper,Canada,North America,,Tier 2,National park
Tofino,Canada,North America,,Tier 2,Coastal destination
Niagara-on-the-Lake,Canada,North America,,Tier 2,Wine region
Tijuana,Mexico,North America,,Tier 2,Border city
Ensenada,Mexico,North America,,Tier 2,Coastal city
La Paz,Mexico,North America,,Tier 2,Coastal city
Cozumel,Mexico,North America,,Tier 2,Island destination
Anchorage,United States,North America,,Tier 3,Alaska gateway
Juneau,United States,North America,,Tier 3,Alaska capital
Fairbanks,United States,North America,,Tier 3,Alaska destination
Boise,United States,North America,,Tier 3,City destination
Salt Lake City,United States,North America,,Tier 3,City destination
Reno,United States,North America,,Tier 3,City destination
Tucson,United States,North America,,Tier 3,Desert city
Albuquerque,United States,North America,,Tier 3,Desert city
Birmingham,United States,North America,,Tier 3,City destination
Memphis,United States,North America,,Tier 3,Music city
Louisville,United States,North America,,Tier 3,City destination
